"Tabela 3268 - Domicílios particulares permanentes, por classes de rendimento nominal mensal domiciliar"
"Variável - Domicílios particulares permanentes (Unidades)"
"Cód.";"Brasil e Município";"Ano x Classes de rendimento nominal mensal domiciliar"
"Cód.";"Brasil e Município";"2010"
"Cód.";"Brasil e Município";"Total";"Até 1/2 salário mínimo";"Mais de 1/2 a 1 salário mínimo"
"3528908";"Mariápolis (SP)";"1297";"28";"164"
"3529005";"Marília (SP)";"68716";"580";"5130"
"3529104";"Marinópolis (SP)";"690";"10";"83"
"3529203";"Martinópolis (SP)";"7522";"107";"1024"
"3529302";"Matão (SP)";"23708";"156";"1573"
"3529401";"Mauá (SP)";"125348";"1175";"9732"
"3529500";"Mendonça (SP)";"1555";"15";"107"
"3529609";"Meridiano (SP)";"1262";"9";"105"
"3529658";"Mesópolis (SP)";"648";"8";"104"
"3529708";"Miguelópolis (SP)";"6470";"94";"870"
"3529807";"Mineiros do Tietê (SP)";"3673";"23";"297"
"3529906";"Miracatu (SP)";"6194";"191";"1463"
"3530003";"Mira Estrela (SP)";"1035";"15";"162"
"3530102";"Mirandópolis (SP)";"8173";"78";"885"
"3530201";"Mirante do Paranapanema (SP)";"5486";"255";"976"
"3530300";"Mirassol (SP)";"17460";"112";"1297"
"3530409";"Mirassolândia (SP)";"1413";"27";"128"
"3530508";"Mococa (SP)";"20293";"115";"1821"
"3530607";"Mogi das Cruzes (SP)";"116418";"1335";"10157"
"3530706";"Mogi Guaçu (SP)";"41775";"164";"2616"
"3530805";"Mogi Mirim (SP)";"27038";"140";"1710"
"3530904";"Mombuca (SP)";"941";"18";"86"
"3531001";"Monções (SP)";"748";"8";"75"
"3531100";"Mongaguá (SP)";"14588";"326";"1893"
"3531209";"Monte Alegre do Sul (SP)";"2347";"9";"151"
"3531308";"Monte Alto (SP)";"14947";"69";"958"
"3531407";"Monte Aprazível (SP)";"7257";"45";"529"
"3531506";"Monte Azul Paulista (SP)";"6019";"36";"551"
"3531605";"Monte Castelo (SP)";"1391";"26";"153"
"3531704";"Monteiro Lobato (SP)";"1335";"20";"226"
"3531803";"Monte Mor (SP)";"14464";"132";"1278"
"3531902";"Morro Agudo (SP)";"8793";"128";"704"
"3532009";"Morungaba (SP)";"3519";"11";"190"
"3532058";"Motuca (SP)";"1357";"35";"146"
"3532108";"Murutinga do Sul (SP)";"1439";"20";"204"
"3532157";"Nantes (SP)";"845";"13";"88"
"3532207";"Narandiba (SP)";"1336";"27";"155"
"3532306";"Natividade da Serra (SP)";"2405";"78";"599"
"3532405";"Nazaré Paulista (SP)";"5195";"57";"780"
"3532504";"Neves Paulista (SP)";"2971";"14";"235"
"3532603";"Nhandeara (SP)";"3683";"19";"414"
"3532702";"Nipoã (SP)";"1388";"14";"115"
"3532801";"Nova Aliança (SP)";"1984";"20";"188"
"3532827";"Nova Campina (SP)";"2407";"144";"486"
"3532843";"Nova Canaã Paulista (SP)";"745";"12";"93"
"3532868";"Nova Castilho (SP)";"380";"3";"41"
"3532900";"Nova Europa (SP)";"2867";"15";"160"
"3533007";"Nova Granada (SP)";"6231";"58";"601"
"3533106";"Nova Guataporanga (SP)";"760";"11";"106"
"3533205";"Nova Independência (SP)";"958";"13";"103"
"3533254";"Novais (SP)";"1350";"10";"95"
"3533304";"Nova Luzitânia (SP)";"1116";"7";"102"
"3533403";"Nova Odessa (SP)";"15815";"53";"657"
"3533502";"Novo Horizonte (SP)";"12227";"81";"1163"
"3533601";"Nuporanga (SP)";"2169";"18";"163"
"3533700";"Ocauçu (SP)";"1366";"6";"230"
"3533809";"Óleo (SP)";"911";"13";"128"
"3533908";"Olímpia (SP)";"15985";"91";"1177"
"3534005";"Onda Verde (SP)";"1196";"7";"76"
"3534104";"Oriente (SP)";"1927";"18";"211"
"3534203";"Orindiúva (SP)";"1785";"11";"113"
"3534302";"Orlândia (SP)";"11975";"65";"702"
"3534401";"Osasco (SP)";"201894";"1422";"14428"
"3534500";"Oscar Bressane (SP)";"872";"12";"118"
"3534609";"Osvaldo Cruz (SP)";"10017";"76";"1018"
"3534708";"Ourinhos (SP)";"32795";"225";"2826"
"3534757";"Ouroeste (SP)";"2780";"41";"264"
"3534807";"Ouro Verde (SP)";"2573";"54";"415"
"3534906";"Pacaembu (SP)";"3646";"56";"466"
"3535002";"Palestina (SP)";"3759";"39";"339"
"3535101";"Palmares Paulista (SP)";"3174";"20";"189"
"3535200";"Palmeira d'Oeste (SP)";"3293";"33";"398"
"3535309";"Palmital (SP)";"7166";"74";"788"
"3535408";"Panorama (SP)";"4628";"48";"519"
"3535507";"Paraguaçu Paulista (SP)";"13029";"160";"1416"
"3535606";"Paraibuna (SP)";"5391";"72";"856"
"3535705";"Paraíso (SP)";"1899";"14";"131"
"3535804";"Paranapanema (SP)";"5519";"68";"654"
"3535903";"Paranapuã (SP)";"1296";"6";"174"
"3536000";"Parapuã (SP)";"3653";"46";"537"
"3536109";"Pardinho (SP)";"1714";"7";"134"
"3536208";"Pariquera-Açu (SP)";"5564";"95";"756"
"3536257";"Parisi (SP)";"711";"6";"61"
"3536307";"Patrocínio Paulista (SP)";"3942";"27";"393"
"3536406";"Paulicéia (SP)";"1935";"23";"204"
"3536505";"Paulínia (SP)";"24244";"92";"1010"
"3536570";"Paulistânia (SP)";"558";"9";"61"
"3536604";"Paulo de Faria (SP)";"2876";"51";"398"
"3536703";"Pederneiras (SP)";"12292";"127";"1062"
"3536802";"Pedra Bela (SP)";"1831";"22";"263"
