"Tabela 3548 - Pessoas de 10 anos ou mais de idade, Valor do rendimento nominal médio mensal, e mediano mensal, das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência, segundo a situação do domicílio, o sexo, as classes de rendimento nominal mensal e os grupos de idade"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Ano x Condição de atividade x Situação do domicílio x Sexo"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Economicamente ativas"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";;;"Total"
"Cód.";"Brasil e Município";"Classes de rendimento nominal mensal";"Grupo de idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"3509700";"Campos do Jordão (SP)";"Total";"Total";"40576";"19749";"20827";"26034";"13883";"12150"
"3509809";"Campos Novos Paulista (SP)";"Total";"Total";"3837";"1965";"1872";"2020";"1309";"711"
"3509908";"Cananéia (SP)";"Total";"Total";"10234";"5107";"5127";"5483";"3195";"2288"
"3509957";"Canas (SP)";"Total";"Total";"3608";"1817";"1792";"2040";"1258";"782"
"3510005";"Cândido Mota (SP)";"Total";"Total";"25970";"12667";"13303";"13969";"8316";"5653"
"3510104";"Cândido Rodrigues (SP)";"Total";"Total";"2375";"1166";"1209";"1391";"828";"563"
"3510153";"Canitar (SP)";"Total";"Total";"3548";"1801";"1748";"2012";"1220";"792"
"3510203";"Capão Bonito (SP)";"Total";"Total";"38871";"19297";"19574";"22046";"13144";"8902"
"3510302";"Capela do Alto (SP)";"Total";"Total";"14855";"7748";"7107";"8762";"5549";"3213"
"3510401";"Capivari (SP)";"Total";"Total";"41587";"20750";"20837";"26072";"14897";"11176"
"3510500";"Caraguatatuba (SP)";"Total";"Total";"86158";"42518";"43640";"50648";"28437";"22212"
"3510609";"Carapicuíba (SP)";"Total";"Total";"312598";"150384";"162214";"181907";"99855";"82052"
"3510708";"Cardoso (SP)";"Total";"Total";"10347";"5101";"5246";"5513";"3297";"2216"
"3510807";"Casa Branca (SP)";"Total";"Total";"24857";"13269";"11587";"12480";"7249";"5231"
"3510906";"Cássia dos Coqueiros (SP)";"Total";"Total";"2293";"1175";"1118";"1510";"878";"632"
"3511003";"Castilho (SP)";"Total";"Total";"15543";"7758";"7785";"8415";"5014";"3401"
"3511102";"Catanduva (SP)";"Total";"Total";"99996";"48148";"51848";"60926";"34025";"26901"
"3511201";"Catiguá (SP)";"Total";"Total";"6201";"3177";"3024";"3541";"2296";"1245"
"3511300";"Cedral (SP)";"Total";"Total";"7037";"3480";"3557";"4204";"2469";"1735"
"3511409";"Cerqueira César (SP)";"Total";"Total";"14928";"7394";"7534";"8436";"5021";"3415"
"3511508";"Cerquilho (SP)";"Total";"Total";"34529";"17056";"17473";"22865";"12610";"10255"
"3511607";"Cesário Lange (SP)";"Total";"Total";"13453";"7013";"6440";"8293";"5136";"3158"
"3511706";"Charqueada (SP)";"Total";"Total";"12972";"6603";"6369";"7663";"4683";"2979"
"3511904";"Clementina (SP)";"Total";"Total";"6013";"3153";"2860";"3803";"2399";"1403"
"3512001";"Colina (SP)";"Total";"Total";"15108";"7488";"7620";"9108";"5343";"3765"
"3512100";"Colômbia (SP)";"Total";"Total";"5177";"2651";"2526";"3094";"1903";"1191"
"3512209";"Conchal (SP)";"Total";"Total";"21532";"10883";"10649";"12546";"7726";"4819"
"3512308";"Conchas (SP)";"Total";"Total";"13938";"6959";"6979";"7891";"4506";"3385"
"3512407";"Cordeirópolis (SP)";"Total";"Total";"18079";"9101";"8978";"11462";"6727";"4735"
