"Tabela 616 - Pessoas de 10 anos ou mais de idade por grupos de idade, condição de atividade na semana de referência, sexo e situação do domicílio"
"Variável - Pessoas de 10 anos ou mais de idade (Pessoas)"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Ano x Condição de atividade x Sexo"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"2010"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Economicamente ativa";"Não economicamente ativa"
"Cód.";"Brasil e Município";"Situação do domicílio";"Grupo de idade";"Total";"Total";"Total"
"3500907";"Altair (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3501004";"Altinópolis (SP)";"Total";"15 a 19 anos";"1300";"613";"687"
"3501004";"Altinópolis (SP)";"Total";"15 a 17 anos";"772";"290";"482"
"3501004";"Altinópolis (SP)";"Total";"15 anos";"...";"...";"..."
"3501004";"Altinópolis (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3501004";"Altinópolis (SP)";"Total";"18 e 19 anos";"528";"323";"205"
"3501004";"Altinópolis (SP)";"Total";"20 a 24 anos";"1285";"1004";"281"
"3501004";"Altinópolis (SP)";"Total";"25 a 29 anos";"1331";"1141";"190"
"3501004";"Altinópolis (SP)";"Total";"30 a 34 anos";"1243";"1020";"223"
"3501004";"Altinópolis (SP)";"Total";"35 a 39 anos";"1033";"849";"184"
"3501004";"Altinópolis (SP)";"Total";"40 a 44 anos";"1065";"843";"222"
"3501004";"Altinópolis (SP)";"Total";"45 a 49 anos";"1018";"845";"173"
"3501004";"Altinópolis (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3501004";"Altinópolis (SP)";"Total";"50 a 54 anos";"945";"674";"271"
"3501004";"Altinópolis (SP)";"Total";"55 a 59 anos";"862";"578";"284"
"3501004";"Altinópolis (SP)";"Total";"60 a 69 anos";"1237";"519";"718"
"3501004";"Altinópolis (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3501004";"Altinópolis (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3501103";"Alto Alegre (SP)";"Total";"15 a 19 anos";"297";"173";"124"
"3501103";"Alto Alegre (SP)";"Total";"15 a 17 anos";"148";"58";"90"
"3501103";"Alto Alegre (SP)";"Total";"15 anos";"...";"...";"..."
"3501103";"Alto Alegre (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3501103";"Alto Alegre (SP)";"Total";"18 e 19 anos";"149";"114";"35"
"3501103";"Alto Alegre (SP)";"Total";"20 a 24 anos";"341";"273";"68"
"3501103";"Alto Alegre (SP)";"Total";"25 a 29 anos";"312";"261";"51"
"3501103";"Alto Alegre (SP)";"Total";"30 a 34 anos";"271";"236";"35"
"3501103";"Alto Alegre (SP)";"Total";"35 a 39 anos";"276";"227";"49"
"3501103";"Alto Alegre (SP)";"Total";"40 a 44 anos";"267";"216";"51"
"3501103";"Alto Alegre (SP)";"Total";"45 a 49 anos";"298";"242";"56"
"3501103";"Alto Alegre (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3501103";"Alto Alegre (SP)";"Total";"50 a 54 anos";"259";"149";"110"
"3501103";"Alto Alegre (SP)";"Total";"55 a 59 anos";"258";"187";"71"
"3501103";"Alto Alegre (SP)";"Total";"60 a 69 anos";"430";"146";"284"
"3501103";"Alto Alegre (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3501103";"Alto Alegre (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3501152";"Alumínio (SP)";"Total";"15 a 19 anos";"1461";"575";"886"
"3501152";"Alumínio (SP)";"Total";"15 a 17 anos";"902";"215";"686"
"3501152";"Alumínio (SP)";"Total";"15 anos";"...";"...";"..."
"3501152";"Alumínio (SP)";"Total";"16 e 17 anos";"...";"...";"..."
"3501152";"Alumínio (SP)";"Total";"18 e 19 anos";"559";"360";"199"
"3501152";"Alumínio (SP)";"Total";"20 a 24 anos";"1491";"1240";"251"
"3501152";"Alumínio (SP)";"Total";"25 a 29 anos";"1552";"1225";"327"
"3501152";"Alumínio (SP)";"Total";"30 a 34 anos";"1493";"1187";"306"
"3501152";"Alumínio (SP)";"Total";"35 a 39 anos";"1370";"1138";"232"
"3501152";"Alumínio (SP)";"Total";"40 a 44 anos";"1244";"926";"318"
"3501152";"Alumínio (SP)";"Total";"45 a 49 anos";"1029";"730";"299"
"3501152";"Alumínio (SP)";"Total";"50 a 59 anos";"...";"...";"..."
"3501152";"Alumínio (SP)";"Total";"50 a 54 anos";"726";"421";"305"
"3501152";"Alumínio (SP)";"Total";"55 a 59 anos";"749";"291";"458"
"3501152";"Alumínio (SP)";"Total";"60 a 69 anos";"897";"206";"691"
"3501152";"Alumínio (SP)";"Total";"60 a 64 anos";"...";"...";"..."
"3501152";"Alumínio (SP)";"Total";"65 a 69 anos";"...";"...";"..."
"3501202";"Álvares Florence (SP)";"Total";"15 a 19 anos";"274";"147";"127"
"3501202";"Álvares Florence (SP)";"Total";"15 a 17 anos";"169";"57";"112"
