"Tabela 6778 - Número de estabelecimentos agropecuários, por tipologia, existência de energia elétrica, condição do produtor em relação às terras, residência da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Ano x Tipologia x Existência de energia elétrica x Condição do produtor em relação às terras"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"2017"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Agricultura familiar - sim"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"Cód.";"Brasil e Município";"Residência da pessoa que dirige o estabelecimento";"Grupos de atividade econômica";"Grupos de área total";"Total";"Total"
"3514809";"Eldorado (SP)";"Total";"Total";"Total";"848";"531"
"3514908";"Elias Fausto (SP)";"Total";"Total";"Total";"295";"184"
"3514924";"Elisiário (SP)";"Total";"Total";"Total";"49";"29"
"3514957";"Embaúba (SP)";"Total";"Total";"Total";"63";"31"
"3515004";"Embu das Artes (SP)";"Total";"Total";"Total";"27";"18"
"3515103";"Embu-Guaçu (SP)";"Total";"Total";"Total";"105";"58"
"3515129";"Emilianópolis (SP)";"Total";"Total";"Total";"194";"103"
"3515152";"Engenheiro Coelho (SP)";"Total";"Total";"Total";"317";"187"
"3515186";"Espírito Santo do Pinhal (SP)";"Total";"Total";"Total";"481";"276"
"3515194";"Espírito Santo do Turvo (SP)";"Total";"Total";"Total";"97";"42"
"3515202";"Estrela d'Oeste (SP)";"Total";"Total";"Total";"270";"205"
"3515301";"Estrela do Norte (SP)";"Total";"Total";"Total";"136";"87"
"3515350";"Euclides da Cunha Paulista (SP)";"Total";"Total";"Total";"751";"667"
"3515400";"Fartura (SP)";"Total";"Total";"Total";"475";"336"
"3515509";"Fernandópolis (SP)";"Total";"Total";"Total";"584";"437"
"3515608";"Fernando Prestes (SP)";"Total";"Total";"Total";"313";"228"
"3515657";"Fernão (SP)";"Total";"Total";"Total";"205";"126"
"3515707";"Ferraz de Vasconcelos (SP)";"Total";"Total";"Total";"16";"9"
"3515806";"Flora Rica (SP)";"Total";"Total";"Total";"109";"52"
"3515905";"Floreal (SP)";"Total";"Total";"Total";"230";"184"
"3516002";"Flórida Paulista (SP)";"Total";"Total";"Total";"512";"345"
"3516101";"Florínea (SP)";"Total";"Total";"Total";"46";"20"
"3516200";"Franca (SP)";"Total";"Total";"Total";"541";"296"
"3516309";"Francisco Morato (SP)";"Total";"Total";"Total";"26";"22"
"3516408";"Franco da Rocha (SP)";"Total";"Total";"Total";"137";"70"
"3516507";"Gabriel Monteiro (SP)";"Total";"Total";"Total";"178";"133"
"3516606";"Gália (SP)";"Total";"Total";"Total";"316";"186"
"3516705";"Garça (SP)";"Total";"Total";"Total";"578";"254"
